 Lines =  lines of LLVM IR generated across all instantiations of the function
 Copies = Number of instantiations of the function (and the percentage of the total). For a generic function
 Function name = Name of function

  Lines         Copies       Function name
      60 (0.2%)     3 (0.3%)  <rodio::source::amplify::Amplify<I> as core::iter::traits::iterator::Iterator>::next
      60 (0.2%)     1 (0.1%)  <fabled_audio::container::audio_spec::AudioSpecification as core::fmt::Debug>::fmt
      60 (0.2%)     1 (0.1%)  rodio::source::spatial::Spatial<I>::new
      60 (0.2%)     1 (0.1%)  rodio::source::take::take_duration
      59 (0.2%)     1 (0.1%)  alloc::raw_vec::RawVec<T,A>::current_memory
      58 (0.2%)     2 (0.2%)  core::alloc::layout::Layout::for_value_raw
      58 (0.2%)     1 (0.1%)  <rodio::source::take::TakeDuration<I> as rodio::source::Source>::total_duration
      58 (0.2%)     1 (0.1%)  core::iter::traits::exact_size::ExactSizeIterator::len
      56 (0.2%)     1 (0.1%)  core::alloc::layout::Layout::array
      56 (0.2%)     1 (0.1%)  rodio::source::mix::mix
      55 (0.2%)     5 (0.5%)  <&mut I as core::iter::traits::iterator::Iterator>::next
      55 (0.2%)     1 (0.1%)  rodio::sink::Sink::append::{{closure}}
      54 (0.2%)     3 (0.3%)  core::iter::traits::iterator::Iterator::size_hint
      54 (0.2%)     1 (0.1%)  <alloc::vec::into_iter::IntoIter<T,A> as core::iter::traits::iterator::Iterator>::next
      54 (0.2%)     1 (0.1%)  <core::time::Duration as core::cmp::Ord>::cmp
      54 (0.2%)     1 (0.1%)  <rodio::source::fadein::FadeIn<I> as core::iter::traits::iterator::Iterator>::next
      54 (0.2%)     1 (0.1%)  <rodio::source::repeat::Repeat<I> as core::iter::traits::iterator::Iterator>::next
      53 (0.2%)     6 (0.6%)  core::ptr::write
      53 (0.2%)     5 (0.5%)  core::option::Option<T>::take
      53 (0.2%)     1 (0.1%)  core::fmt::Arguments::new_v1
      52 (0.2%)     4 (0.4%)  <rodio::source::uniform::UniformSourceIterator<I,D> as rodio::source::Source>::current_frame_len
      52 (0.2%)     1 (0.1%)  rodio::source::fadein::fadein
      51 (0.2%)     1 (0.1%)  <fabled_audio::container::device_config::DeviceConfig as core::fmt::Debug>::fmt
      50 (0.2%)     2 (0.2%)  <rodio::source::delay::Delay<I> as rodio::source::Source>::total_duration::{{closure}}
      50 (0.2%)     2 (0.2%)  std::sync::mutex::MutexGuard<T>::new::{{closure}}
      50 (0.2%)     1 (0.1%)  <rodio::source::buffered::Buffered<I> as rodio::source::Source>::current_frame_len
      49 (0.2%)     5 (0.5%)  core::cell::UnsafeCell<T>::new
      49 (0.2%)     5 (0.5%)  core::mem::manually_drop::ManuallyDrop<T>::new
      49 (0.2%)     1 (0.1%)  <alloc::vec::into_iter::IntoIter<T,A> as core::iter::traits::iterator::Iterator>::size_hint
      48 (0.2%)     4 (0.4%)  core::ptr::mut_ptr::<impl *mut T>::offset
      48 (0.2%)     3 (0.3%)  alloc::raw_vec::RawVec<T,A>::capacity
      48 (0.2%)     1 (0.1%)  core::fmt::builders::DebugList::entries
      47 (0.2%)     6 (0.6%)  <T as core::convert::Into<U>>::into
      47 (0.2%)     3 (0.3%)  rodio::source::amplify::amplify
      47 (0.2%)     1 (0.1%)  <fabled_audio::container::supported_buffer::SupportedBufferSize as core::fmt::Debug>::fmt
      47 (0.2%)     1 (0.1%)  core::time::Duration::new
      46 (0.2%)     2 (0.2%)  <alloc::sync::Arc<T> as core::ops::drop::Drop>::drop
      46 (0.2%)     2 (0.2%)  core::iter::traits::iterator::Iterator::max_by
      46 (0.2%)     1 (0.1%)  <fabled_audio::error::decoder_error::AudioDecodingError as std::error::Error>::source
      46 (0.2%)     1 (0.1%)  <fabled_audio::error::encoder_error::AudioEncodingError as std::error::Error>::source
      46 (0.2%)     1 (0.1%)  <fabled_audio::error::output_error::SpatialOutputError as core::fmt::Debug>::fmt
      45 (0.1%)     5 (0.5%)  <I as core::iter::traits::collect::IntoIterator>::into_iter
      45 (0.1%)     5 (0.5%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter::SpecFromIter<T,I>>::from_iter
      45 (0.1%)     5 (0.5%)  core::iter::traits::iterator::Iterator::collect
      45 (0.1%)     3 (0.3%)  <rodio::source::amplify::Amplify<I> as core::iter::traits::iterator::Iterator>::next::{{closure}}
      45 (0.1%)     1 (0.1%)  <fabled_audio::error::output_error::SpatialOutputError as core::fmt::Display>::fmt
      44 (0.1%)     2 (0.2%)  std::sync::poison::PoisonError<T>::new
      44 (0.1%)     1 (0.1%)  <rodio::source::repeat::Repeat<I> as rodio::source::Source>::current_frame_len
      44 (0.1%)     1 (0.1%)  core::option::Option<T>::get_or_insert_with
      44 (0.1%)     1 (0.1%)  rodio::source::blt::low_pass
      44 (0.1%)     1 (0.1%)  rodio::spatial_sink::SpatialSink::append::{{closure}}
      43 (0.1%)     1 (0.1%)  <rodio::source::done::Done<I> as core::iter::traits::iterator::Iterator>::next
      43 (0.1%)     1 (0.1%)  core::num::<impl u64>::checked_add
      43 (0.1%)     1 (0.1%)  core::num::<impl u64>::overflowing_add
      43 (0.1%)     1 (0.1%)  core::num::<impl usize>::checked_add
      43 (0.1%)     1 (0.1%)  core::num::<impl usize>::checked_mul
      43 (0.1%)     1 (0.1%)  core::num::<impl usize>::overflowing_add
      43 (0.1%)     1 (0.1%)  core::num::<impl usize>::overflowing_mul
      43 (0.1%)     1 (0.1%)  rodio::source::pausable::pausable
      42 (0.1%)     1 (0.1%)  <fabled_audio::container::audio_listener::AudioListener as core::fmt::Debug>::fmt
      42 (0.1%)     1 (0.1%)  alloc::alloc::exchange_malloc
      42 (0.1%)     1 (0.1%)  rodio::source::buffered::buffered
      42 (0.1%)     1 (0.1%)  std::sync::poison::Flag::borrow
      40 (0.1%)     4 (0.4%)  rodio::conversions::sample::DataConverter<I,O>::new
      40 (0.1%)     2 (0.2%)  <rodio::source::delay::Delay<I> as core::iter::traits::iterator::Iterator>::size_hint::{{closure}}
      40 (0.1%)     2 (0.2%)  <rodio::source::delay::Delay<I> as rodio::source::Source>::current_frame_len
      40 (0.1%)     2 (0.2%)  <rodio::source::delay::Delay<I> as rodio::source::Source>::current_frame_len::{{closure}}
      39 (0.1%)     1 (0.1%)  alloc::raw_vec::handle_reserve
      39 (0.1%)     1 (0.1%)  rodio::source::Source::reverb
      38 (0.1%)     2 (0.2%)  core::iter::traits::iterator::Iterator::max_by::fold::{{closure}}
      38 (0.1%)     2 (0.2%)  core::ops::function::impls::<impl core::ops::function::FnOnce<A> for &mut F>::call_once
      38 (0.1%)     1 (0.1%)  <fabled_audio::container::audio_listener::AudioListener as core::default::Default>::default
      38 (0.1%)     1 (0.1%)  rodio::source::blt::BltApplier::apply
      37 (0.1%)     1 (0.1%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
      36 (0.1%)     6 (0.6%)  core::mem::manually_drop::ManuallyDrop<T>::into_inner
      36 (0.1%)     4 (0.4%)  core::ptr::mut_ptr::<impl *mut T>::add
      36 (0.1%)     1 (0.1%)  <<alloc::vec::into_iter::IntoIter<T,A> as core::ops::drop::Drop>::drop::DropGuard<T,A> as core::ops::drop::Drop>::drop
      35 (0.1%)     5 (0.5%)  <&mut I as core::iter::traits::iterator::Iterator>::size_hint
      35 (0.1%)     1 (0.1%)  core::option::Option<T>::unwrap_unchecked
      35 (0.1%)     1 (0.1%)  core::ptr::const_ptr::<impl *const T>::offset_from
      34 (0.1%)     3 (0.3%)  rodio::source::Source::amplify
      34 (0.1%)     2 (0.2%)  rodio::source::Source::periodic_access
      33 (0.1%)     3 (0.3%)  <rodio::source::amplify::Amplify<I> as rodio::source::Source>::current_frame_len
      33 (0.1%)     1 (0.1%)  rodio::source::take::TakeDuration<I>::get_duration_per_sample
      32 (0.1%)     4 (0.4%)  <rodio::conversions::sample::DataConverter<I,O> as core::iter::traits::iterator::Iterator>::next::{{closure}}
      32 (0.1%)     4 (0.4%)  <rodio::source::uniform::UniformSourceIterator<I,D> as rodio::source::Source>::total_duration
      32 (0.1%)     4 (0.4%)  rodio::source::uniform::UniformSourceIterator<I,D>::bootstrap::{{closure}}
      32 (0.1%)     3 (0.3%)  core::ptr::non_null::NonNull<T>::cast
      32 (0.1%)     2 (0.2%)  std::sync::mutex::MutexGuard<T>::new
      32 (0.1%)     1 (0.1%)  fabled_audio::codecs::decode::<impl core::convert::From<fabled_audio::codecs::decode::FlacReaderOptions> for claxon::FlacReaderOptions>::from
      32 (0.1%)     1 (0.1%)  fabled_audio::container::supported_buffer::<impl core::convert::From<fabled_audio::container::supported_buffer::SupportedBufferSize> for cpal::BufferSize>::from
      31 (0.1%)     1 (0.1%)  alloc::raw_vec::alloc_guard
      31 (0.1%)     1 (0.1%)  fabled_audio::clip::audio_collection::AmbisonicCollection::append
      30 (0.1%)     7 (0.7%)  core::cell::UnsafeCell<T>::get
      30 (0.1%)     3 (0.3%)  <&T as core::fmt::Display>::fmt
      30 (0.1%)     3 (0.3%)  core::fmt::ArgumentV1::new_debug
      30 (0.1%)     3 (0.3%)  core::fmt::ArgumentV1::new_display
      30 (0.1%)     2 (0.2%)  <rodio::source::delay::Delay<I> as rodio::source::Source>::total_duration
      30 (0.1%)     2 (0.2%)  <std::sync::mutex::MutexGuard<T> as core::ops::drop::Drop>::drop
      30 (0.1%)     1 (0.1%)  <core::option::Option<T> as core::ops::try_trait::Try>::branch
      30 (0.1%)     1 (0.1%)  <cpal::SampleRate as core::cmp::Ord>::cmp
      30 (0.1%)     1 (0.1%)  <fabled_audio::container::sample_format::SampleFormat as core::fmt::Debug>::fmt
      30 (0.1%)     1 (0.1%)  rodio::source::repeat::repeat
      29 (0.1%)     6 (0.6%)  core::mem::maybe_uninit::MaybeUninit<T>::as_mut_ptr
      29 (0.1%)     2 (0.2%)  rodio::source::Source::delay
      29 (0.1%)     1 (0.1%)  <fabled_audio::container::supported_buffer::SupportedBufferSize as core::convert::From<&cpal::SupportedBufferSize>>::from
      29 (0.1%)     1 (0.1%)  core::ptr::drop_in_place<rodio::conversions::sample_rate::SampleRateConverter<rodio::source::uniform::Take<alloc::boxed::Box<dyn rodio::source::Source+Item = f32+core::marker::Send>>>>
      29 (0.1%)     1 (0.1%)  core::ptr::drop_in_place<rodio::conversions::sample_rate::SampleRateConverter<rodio::source::uniform::Take<rodio::source::amplify::Amplify<alloc::boxed::Box<dyn rodio::source::Source+Item = f32+core::marker::Send>>>>>
      29 (0.1%)     1 (0.1%)  core::ptr::drop_in_place<rodio::conversions::sample_rate::SampleRateConverter<rodio::source::uniform::Take<rodio::source::buffered::Buffered<alloc::boxed::Box<dyn rodio::source::Source+Item = f32+core::marker::Send>>>>>
      29 (0.1%)     1 (0.1%)  core::ptr::drop_in_place<rodio::conversions::sample_rate::SampleRateConverter<rodio::source::uniform::Take<rodio::source::delay::Delay<rodio::source::amplify::Amplify<rodio::source::buffered::Buffered<alloc::boxed::Box<dyn rodio::source::Source+Item = f32+core::marker::Send>>>>>>>
      29 (0.1%)     1 (0.1%)  core::ptr::metadata::from_raw_parts_mut
      29 (0.1%)     1 (0.1%)  fabled_audio::clip::audio_collection::AmbisonicCollection::new
      29 (0.1%)     1 (0.1%)  std::sync::poison::Flag::done
      28 (0.1%)     4 (0.4%)  <rodio::conversions::sample::DataConverter<I,O> as core::iter::traits::iterator::Iterator>::size_hint
      28 (0.1%)     4 (0.4%)  rodio::conversions::channels::ChannelCountConverter<I>::into_inner
      28 (0.1%)     2 (0.2%)  alloc::boxed::Box<T,A>::leak
      28 (0.1%)     2 (0.2%)  alloc::sync::Arc<T>::drop_slow
      28 (0.1%)     1 (0.1%)  <rodio::source::repeat::Repeat<I> as rodio::source::Source>::channels
      28 (0.1%)     1 (0.1%)  <rodio::source::repeat::Repeat<I> as rodio::source::Source>::sample_rate
      27 (0.1%)     3 (0.3%)  <std::sync::mutex::MutexGuard<T> as core::ops::deref::DerefMut>::deref_mut
      27 (0.1%)     1 (0.1%)  <alloc::alloc::Global as core::alloc::Allocator>::deallocate
      27 (0.1%)     1 (0.1%)  <fabled_audio::container::fade_filter::FadeFilter as core::fmt::Debug>::fmt
      27 (0.1%)     1 (0.1%)  <rodio::source::buffered::Buffered<I> as rodio::source::Source>::channels
      27 (0.1%)     1 (0.1%)  <rodio::source::buffered::Buffered<I> as rodio::source::Source>::sample_rate
      27 (0.1%)     1 (0.1%)  rodio::sink::Sink::set_volume
      27 (0.1%)     1 (0.1%)  rodio::source::take::DurationFilter::apply
      26 (0.1%)     2 (0.2%)  alloc::raw_vec::RawVec<T,A>::reserve_for_push
      26 (0.1%)     1 (0.1%)  alloc::raw_vec::RawVec<T,A>::from_raw_parts_in
      24 (0.1%)     4 (0.4%)  rodio::conversions::sample::DataConverter<I,O>::into_inner
      24 (0.1%)     3 (0.3%)  core::ptr::unique::Unique<T>::cast
      24 (0.1%)     2 (0.2%)  <std::sync::poison::PoisonError<T> as core::fmt::Debug>::fmt
      24 (0.1%)     1 (0.1%)  core::cmp::impls::<impl core::cmp::Ord for u32>::cmp
      24 (0.1%)     1 (0.1%)  core::cmp::impls::<impl core::cmp::Ord for u64>::cmp
      24 (0.1%)     1 (0.1%)  rodio::sink::Sink::volume
      23 (0.1%)     1 (0.1%)  alloc::raw_vec::RawVec<T,A>::set_ptr_and_cap
      23 (0.1%)     1 (0.1%)  core::option::Option<T>::unwrap_or_default
      23 (0.1%)     1 (0.1%)  cpal::SupportedStreamConfigRange::with_max_sample_rate
      23 (0.1%)     1 (0.1%)  fabled_audio::clip::raw_clip::RawClip<T>::new
      22 (0.1%)     2 (0.2%)  <rodio::source::periodic::PeriodicAccess<I,F> as rodio::source::Source>::current_frame_len
      22 (0.1%)     1 (0.1%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
      22 (0.1%)     1 (0.1%)  <fabled_audio::clip::raw_clip::RawAmbisonicClip as core::default::Default>::default
      22 (0.1%)     1 (0.1%)  <fabled_audio::container::device_config::DeviceConfig as core::default::Default>::default
      22 (0.1%)     1 (0.1%)  <rodio::source::buffered::Buffered<I> as core::clone::Clone>::clone
      22 (0.1%)     1 (0.1%)  <rodio::source::stoppable::Stoppable<I> as core::iter::traits::iterator::Iterator>::next
      22 (0.1%)     1 (0.1%)  core::sync::atomic::fence
      22 (0.1%)     1 (0.1%)  rodio::conversions::sample_rate::SampleRateConverter<I>::new::gcd
      21 (0.1%)     3 (0.3%)  <rodio::source::amplify::Amplify<I> as core::iter::traits::iterator::Iterator>::size_hint
      21 (0.1%)     3 (0.3%)  <rodio::source::amplify::Amplify<I> as rodio::source::Source>::channels
      21 (0.1%)     3 (0.3%)  <rodio::source::amplify::Amplify<I> as rodio::source::Source>::sample_rate
      21 (0.1%)     3 (0.3%)  <rodio::source::amplify::Amplify<I> as rodio::source::Source>::total_duration
      21 (0.1%)     1 (0.1%)  <[T] as core::fmt::Debug>::fmt
      21 (0.1%)     1 (0.1%)  <alloc::vec::into_iter::IntoIter<T,A> as core::ops::drop::Drop>::drop
      21 (0.1%)     1 (0.1%)  <rodio::source::channel_volume::ChannelVolume<I> as core::iter::traits::iterator::Iterator>::next::{{closure}}
      21 (0.1%)     1 (0.1%)  fabled_audio::clip::audio_collection::AmbisonicCollection::retrieve_output
      21 (0.1%)     1 (0.1%)  fabled_audio::mixer::ambisonic_mixer::<impl fabled_audio::clip::raw_clip::RawAmbisonicClip>::amplify
      21 (0.1%)     1 (0.1%)  fabled_audio::mixer::ambisonic_mixer::<impl fabled_audio::clip::raw_clip::RawAmbisonicClip>::low_pass
      21 (0.1%)     1 (0.1%)  fabled_audio::mixer::ambisonic_mixer::<impl fabled_audio::clip::raw_clip::RawAmbisonicClip>::speed
      21 (0.1%)     1 (0.1%)  fabled_audio::mixer::standard_mixer::<impl fabled_audio::clip::raw_clip::RawClip<f32>>::low_pass
      20 (0.1%)     6 (0.6%)  core::mem::maybe_uninit::MaybeUninit<T>::uninit
      20 (0.1%)     5 (0.5%)  core::iter::traits::iterator::Iterator::by_ref
      20 (0.1%)     1 (0.1%)  <alloc::boxed::Box<I,A> as core::iter::traits::iterator::Iterator>::nth
      20 (0.1%)     1 (0.1%)  <fabled_audio::config::output_config::OutputConfig as core::default::Default>::default::{{closure}}
      20 (0.1%)     1 (0.1%)  alloc::raw_vec::RawVec<T,A>::new_in
      20 (0.1%)     1 (0.1%)  core::alloc::layout::Layout::from_size_align_unchecked
      20 (0.1%)     1 (0.1%)  core::ptr::drop_in_place<fabled_audio::error::encoder_error::AudioEncodingError>
      20 (0.1%)     1 (0.1%)  fabled_audio::config::output_config::OutputConfig::retrieve_from_host::{{closure}}
      19 (0.1%)     1 (0.1%)  <f32 as rodio::conversions::sample::Sample>::lerp
      19 (0.1%)     1 (0.1%)  core::cmp::Ord::max
      19 (0.1%)     1 (0.1%)  core::cmp::max
      19 (0.1%)     1 (0.1%)  core::sync::atomic::AtomicBool::store
      19 (0.1%)     1 (0.1%)  core::time::Duration::from_millis
      18 (0.1%)     3 (0.3%)  <rodio::source::uniform::UniformSourceIterator<I,D> as rodio::source::Source>::channels
      18 (0.1%)     3 (0.3%)  <rodio::source::uniform::UniformSourceIterator<I,D> as rodio::source::Source>::sample_rate
      18 (0.1%)     3 (0.3%)  core::ptr::unique::Unique<T>::as_ptr
      18 (0.1%)     2 (0.2%)  <std::sync::mutex::MutexGuard<T> as core::ops::deref::Deref>::deref
      18 (0.1%)     2 (0.2%)  std::sync::mutex::Mutex<T>::lock
      18 (0.1%)     1 (0.1%)  <rodio::source::buffered::Buffered<I> as core::iter::traits::iterator::Iterator>::size_hint
